CutSceneID,OpenID,StringType,StringID,StringDelay,value(1),ImageType,ImageResourceID,ImageDelay,value(2),SoundType,SoundResourceID,SoundDelay,value(3)
CS_Lay_1_1,open_Lay,1,CS_Lay_1_s1,1.4,-1,1,Image_CS_Lay_1,0.7,0.7,0,-1,-1,-1
CS_Lay_1_2,open_Lay,1,CS_Lay_1_s2,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_1_3,open_Lay,1,CS_Lay_1_s3,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_2_1,open_Lay,1,CS_Lay_2_s1,0,-1,2,Image_CS_Lay_2,0,0.7,0,-1,-1,-1
CS_Lay_2_2,open_Lay,1,CS_Lay_2_s2,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_2_3,open_Lay,1,CS_Lay_2_s3,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_2_4,open_Lay,1,CS_Lay_2_s4,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_2_5,open_Lay,1,CS_Lay_2_s5,0.7,-1,3,-1,0,0.7,0,-1,-1,-1
CS_Lay_3_1,open_Lay,1,CS_Lay_3_s1,1.4,-1,1,Image_CS_Lay_3,0.7,0.7,2,Sound_CS_Lay_3,0.7,-1
CS_Lay_3_2,open_Lay,1,CS_Lay_3_s2,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_3_3,open_Lay,1,CS_Lay_3_s3,0.3,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_3_4,open_Lay,1,CS_Lay_3_s4,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_3_5,open_Lay,1,CS_Lay_3_s5,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_3_6,open_Lay,1,CS_Lay_3_s6,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_4_1,open_Lay,1,CS_Lay_4_s1,0,-1,2,Image_CS_Lay_4,0,0.7,3,-1,0,1.5
CS_Lay_4_2,open_Lay,1,CS_Lay_4_s2,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_4_3,open_Lay,1,CS_Lay_4_s3,0,-1,0,-1,-1,-1,1,Sound_CS_Lay_4,-1,-1
CS_Lay_4_4,open_Lay,1,CS_Lay_4_s4,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_5_1,open_Lay,1,CS_Lay_5_s1,0.7,-1,3,-1,0,0.7,4,-1,0,-1
CS_Lay_5_2,open_Lay,1,CS_Lay_5_s2,0.7,-1,1,Image_CS_Lay_5,0,0.7,1,Sound_CS_Lay_5,0,-1
CS_Lay_5_3,open_Lay,1,CS_Lay_5_s3,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_5_4,open_Lay,1,CS_Lay_5_s4,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_5_5,open_Lay,1,CS_Lay_5_s5,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_6_1,open_Lay,1,CS_Lay_6_s1,0,-1,2,Image_CS_Lay_6,0,0.7,0,-1,-1,-1
CS_Lay_6_2,open_Lay,1,CS_Lay_6_s2,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_6_3,open_Lay,1,CS_Lay_6_s3,0,-1,0,-1,-1,-1,0,-1,-1,-1
CS_Lay_7_1,open_Lay,1,CS_Lay_7_s1,0.7,-1,3,-1,0,0.7,0,-1,-1,-1
CS_Lay_7_2,open_Lay,1,CS_Lay_7_s2,0,-1,0,-1,-1,-1,0,-1,-1,-1
